orig_book_index	orig_chapter	orig_verse	text
40N	1	1	כתבא דילידותה דישׁוע משׁיחא ברה דדויד ברה דאברהמ ܀
40N	1	2	אברהמ אולד לאיסחק איסחק אולד ליעקוב יעקוב אולד ליהודא ולאחוהי ܀
40N	1	3	יהודא אולד לפרצ ולזרח מנ תמר פרצ אולד לחצרונ חצרונ אולד לארמ ܀
40N	1	4	ארמ אולד לעמינדב עמינדב אולד לנחשׁונ נחשׁונ אולד לסלמונ ܀
40N	1	5	סלמונ אולד לבעז מנ רחב בעז אולד לעוביד מנ רעות עוביד אולד לאישׁי ܀
40N	1	6	אישׁי אולד לדויד מלכא דויד אולד לשׁלימונ מנ אנתתה דאוריא ܀
40N	1	7	שׁלימונ אולד לרחבעמ רחבעמ אולד לאביא אביא אולד לאסא ܀
40N	1	8	אסא אולד ליהושׁפט יהושׁפט אולד ליורמ יורמ אולד לעוזיא ܀
40N	1	9	עוזיא אולד ליותמ יותמ אולד לאחז אחז אולד לחזקיא ܀
40N	1	10	חזקיא אולד למנשׁא מנשׁא אולד לאמונ אמונ אולד ליושׁיא ܀
40N	1	11	יושׁיא אולד ליוכניא ולאחוהי בגלותא דבבל ܀
40N	1	12	מנ בתר גלותא דינ דבבל יוכניא אולד לשׁלתאיל שׁלתאיל אולד לזורבבל ܀
40N	1	13	זורבבל אולד לאביוד אביוד אולד לאליקימ אליקימ אולד לעזור ܀
40N	1	14	עזור אולד לזדוק זדוק אולד לאכינ אכינ אולד לאליוד ܀
40N	1	15	אליוד אולד לאליעזר אליעזר אולד למתנ מתנ אולד ליעקוב ܀
40N	1	16	יעקוב אולד ליוספ גברה דמרימ דמנה אתילד ישׁוע דמתקרא משׁיחא ܀
40N	1	17	כלהינ הכיל שׁרבתא מנ אברהמ עדמא לדויד שׁרבתא ארבעסרא ומנ דויד עדמא לגלותא דבבל שׁרבתא ארבעסרא ומנ גלותא דבבל עדמא למשׁיחא שׁרבתא ארבעסרא ܀
40N	1	18	ילדה דינ דישׁוע משׁיחא הכנא הוא כד מכירא הות מרימ אמה ליוספ עדלא נשׁתותפונ אשׁתכחת בטנא מנ רוחא דקודשׁא ܀
40N	1	19	יוספ דינ בעלה כאנא הוא ולא צבא דנפרסיה ואתרעי הוא דמטשׁיאית נשׁריה ܀
40N	1	20	כד הלינ דינ אתרעי אתחזי לה מלאכא דמריא בחלמא ואמר לה יוספ ברה דדויד לא תדחל למסב למרימ אנתתכ הו גיר דאתילד בה מנ רוחא הו דקודשׁא ܀
40N	1	21	תאלד דינ ברא ותקרא שׁמה ישׁוע הו גיר נחיוהי לעמה מנ חטהיהונ ܀
40N	1	22	הדא דינ כלה דהות דנתמלא מדמ דאתאמר מנ מריא ביד נביא ܀
40N	1	23	דהא בתולתא תבטנ ותאלד ברא ונקרונ שׁמה עמנואיל דמתתרגמ עמנ אלהנ ܀
40N	1	24	כד קמ דינ יוספ מנ שׁנתה עבד איכנא דפקד לה מלאכה דמריא ודברה לאנתתה ܀
40N	1	25	ולא חכמה עדמא דילדתה לברה בוכרא וקרת שׁמה ישׁוע ܀
40N	2	1	כד דינ אתילד ישׁוע בבית לחמ דיהודא ביומי הרודס מלכא אתו מגושׁא מנ מדנחא לאורשׁלמ ܀
40N	2	2	ואמרינ איכו מלכא דיהודיא דאתילד חזינ גיר כוכבה במדנחא ואתינ למסגד לה ܀
40N	2	3	שׁמע דינ הרודס מלכא ואתתזיע וכלה אורשׁלמ עמה ܀
40N	2	4	וכנשׁ כלהונ רבי כהנא וספרא דעמא ומשׁאל הוא להונ דאיכא מתילד משׁיחא ܀
40N	2	5	הנונ דינ אמרו בבית לחמ דיהודא הכנא גיר כתיב בנביא ܀
40N	2	6	אפ אנתי בית לחמ דיהודא לא הויתי בצירא במלכא דיהודא מנכי גיר נפוק מלכא דהו נרעיוהי לעמי איסראיל ܀
40N	2	7	הידינ הרודס מטשׁיאית קרא למגושׁא וילפ מנהונ באינא זבנא אתחזי להונ כוכבא ܀
40N	2	8	ושׁדר אנונ לבית לחמ ואמר להונ זלו עקבו על טליא חפיטאית ומא דאשׁכחתוניהי תו חואוני דאפ אנא אזל אסגוד לה ܀
40N	2	9	הנונ דינ כד שׁמעו מנ מלכא אזלו והא כוכבא הו דחזו במדנחא אזל הוא קדמיהונ עדמא דאתא קמ לעל מנ איכא דאיתוהי טליא ܀
40N	2	10	כד דינ חזאוהי לכוכבא חדיו חדותא רבתא דטב ܀
40N	2	11	ועלו לביתא וחזאוהי לטליא עמ מרימ אמה ונפלו סגדו לה ופתחו סימתהונ וקרבו לה קורבנא דהבא ומורא ולבונתא ܀
40N	2	12	ואתחזי להונ בחלמא דלא נהפכונ לות הרודס ובאורחא אחרתא אזלו לאתרהונ ܀
40N	2	13	כד דינ אזלו אתחזי מלאכא דמריא בחלמא ליוספ ואמר לה קומ דבר לטליא ולאמה וערוק למצרינ ותמנ הוי עדמא דאמר אנא לכ עתיד הו גיר הרודס למבעיה לטליא איכ דנובדיוהי ܀
40N	2	14	יוספ דינ קמ שׁקלה לטליא ולאמה בלליא וערק למצרינ ܀
40N	2	15	והוא תמנ עדמא למותה דהרודס דנתמלא מדמ דאתאמר מנ מריא בנביא דאמר דמנ מצרינ קרית לברי ܀
40N	2	16	הידינ הרודס כד חזא דאתבזח מנ מגושׁא אתחמת טב ושׁדר קטל טליא כלהונ דבית לחמ ודכלהונ תחומיה מנ בר תרתינ שׁנינ ולתחת איכ זבנא דעקב מנ מגושׁא ܀
40N	2	17	הידינ אתמלי מדמ דאתאמר ביד ארמיא נביא דאמר ܀
40N	2	18	קלא אשׁתמע ברמתא בכיא ואליא סגיאא רחיל בכיא על בניה ולא צביא למתביאו מטל דלא איתיהונ ܀
40N	2	19	כד מית דינ הרודס מלכא אתחזי מלאכא דמריא בחלמא ליוספ במצרינ ܀
40N	2	20	ואמר לה קומ דבר לטליא ולאמה וזל לארעא דאיסראיל מיתו להונ גיר הנונ דבעינ הוו נפשׁה דטליא ܀
40N	2	21	ויוספ קמ דבר לטליא ולאמה ואתא לארעא דאיסראיל ܀
40N	2	22	כד דינ שׁמע דארכלאוס הוא מלכא ביהוד חלפ הרודס אבוהי דחל דנאזל לתמנ ואתחזי לה בחלמא דנאזל לאתרא דגלילא ܀ 23 ואתא עמר במדינתא דמתקריא נצרת איכ דנתמלא מדמ דאתאמר בנביא דנצריא נתקרא ܀
40N	2	23	 
40N	3	1	בהונ דינ ביומתא הנונ אתא יוחננ מעמדנא ומכרז הוא בחורבא דיהוד ܀
40N	3	2	ואמר תובו קרבת לה מלכותא דשׁמיא ܀
40N	3	3	הנו גיר הו דאמיר ביד אשׁעיא נביא קלא דקרא בחורבא טיבו אורחה דמריא ואשׁוו לשׁבילוהי ܀
40N	3	4	הו דינ יוחננ איתוהי הוא לבושׁה דסערא דגמלא ואסר חצא דמשׁכא על חצוהי ומאכולתה קמצא ודבשׁא דברא ܀
40N	3	5	הידינ נפקא הות לותה אורשׁלמ וכלה יהוד וכלה אתרא דחדרי יורדננ ܀
40N	3	6	ועמדינ הוו מנה ביורדננ נהרא כד מודינ בחטהיהונ ܀
40N	3	7	כד חזא דינ סגיאא מנ פרישׁא ומנ זדוקיא דאתינ למעמד אמר להונ ילדא דאכדנא מנו חויכונ למערק מנ רוגזא דאתא ܀
40N	3	8	עבדו הכיל פארא דשׁוינ לתיבותא ܀
40N	3	9	ולא תסברונ ותאמרונ בנפשׁכונ דאבא אית לנ אברהמ אמר אנא לכונ גיר דמשׁכח אלהא מנ הלינ כאפא למקמו בניא לאברהמ ܀
40N	3	10	הא דינ נרגא סימ על עקרא דאילנא כל אילנא הכיל דפארא טבא לא עבד מתפסק ונפל בנורא ܀
40N	3	11	אנא מעמד אנא לכונ במיא לתיבותא הו דינ דבתרי אתא חסינ הו מני הו דלא שׁוא אנא מסנוהי למשׁקל הו מעמד לכונ ברוחא דקודשׁא ובנורא ܀
40N	3	12	הו דרפשׁא באידה ומדכא אדרוהי וחטא כנשׁ לאוצרוהי ותבנא מוקד בנורא דלא דעכא ܀
40N	3	13	הידינ אתא ישׁוע מנ גלילא ליורדננ לות יוחננ דנעמד מנה ܀
40N	3	14	הו דינ יוחננ כלא הוא לה ואמר אנא סניק אנא דמנכ אתעמד ואנת לותי אתית ܀
40N	3	15	הו דינ ישׁוע ענא ואמר לה שׁבוק השׁא הכנא גיר יאא לנ דנמלא כלה כאנותא והידינ שׁבקה ܀
40N	3	16	כד עמד דינ ישׁוע מחדא סלק מנ מיא ואתפתחו לה שׁמיא וחזא רוחא דאלהא דנחתא איכ יונא ואתת עלוהי ܀ 17 והא קלא מנ שׁמיא דאמר הנו ברי חביבא דבה אצטבית ܀
40N	3	17	 
40N	4	1	הידינ ישׁוע אתדבר מנ רוחא דקודשׁא למדברא דנתנסא מנ אכלקרצא ܀
40N	4	2	וצמ ארבעינ יומינ וארבעינ לילונ אחרית דינ כפנ ܀
40N	4	3	וקרב הו דמנסא ואמר לה אנ ברה אנת דאלהא אמר דהלינ כאפא נהוינ לחמא ܀
40N	4	4	הו דינ ענא ואמר כתיב דלא הוא בלחמא בלחוד חיא ברנשׁא אלא בכל מלא דנפקא מנ פומה דאלהא ܀
40N	4	5	הידינ דברה אכלקרצא למדינת קודשׁא ואקימה על כנפא דהיכלא ܀
40N	4	6	ואמר לה אנ ברה אנת דאלהא שׁדי נפשׁכ לתחת כתיב גיר דלמלאכוהי נפקד עליכ ועל אידיהונ נשׁקלונכ דלא תתקל בכאפא רגלכ ܀
40N	4	7	אמר לה ישׁוע תוב כתיב דלא תנסא למריא אלהכ ܀
40N	4	8	תוב דברה אכלקרצא לטורא דטב רמ וחויה כלהינ מלכותא דעלמא ושׁובחהינ ܀
40N	4	9	ואמר לה הלינ כלהינ לכ אתל אנ תפל תסגוד לי ܀
40N	4	10	הידינ אמר לה ישׁוע זל לכ סטנא כתיב גיר דלמריא אלהכ תסגוד ולה בלחודוהי תפלוח ܀
40N	4	11	הידינ שׁבקה אכלקרצא והא מלאכא קרבו ומשׁמשׁינ הוו לה ܀
40N	4	12	כד שׁמע דינ ישׁוע דיוחננ אשׁתלמ שׁני לה לגלילא ܀
40N	4	13	ושׁבקה לנצרת ואתא עמר בכפרנחומ על יד ימא בתחומא דזבולונ ודנפתלי ܀
40N	4	14	דנתמלא מדמ דאתאמר ביד אשׁעיא נביא דאמר ܀
40N	4	15	ארעא דזבולונ ארעא דנפתלי אורחא דימא עברוהי דיורדננ גלילא דעממא ܀
40N	4	16	עמא דיתב בחשׁוכא נוהרא רבא חזא ואילינ דיתבינ באתרא ובטללא דמותא נוהרא דנח להונ ܀
40N	4	17	מנ הידינ שׁרי ישׁוע למכרזו ולמאמר תובו קרבת לה גיר מלכותא דשׁמיא ܀
40N	4	18	וכד מהלכ על יד ימא דגלילא חזא תרינ אחינ שׁמעונ דאתקרי כאפא ואנדראוס אחוהי דרמינ מצידתא בימא איתיהונ הוו גיר צידא ܀
40N	4	19	ואמר להונ ישׁוע תו בתרי ואעבדכונ דתהוונ צידא דבני אנשׁא ܀
40N	4	20	הנונ דינ מחדא שׁבקו מצידתהונ ואזלו בתרה ܀
40N	4	21	וכד עבר מנ תמנ חזא אחרנא אחא תרינ יעקוב בר זבדי ויוחננ אחוהי באלפא עמ זבדי אבוהונ דמתקנינ מצידתהונ וקרא אנונ ܀
40N	4	22	הנונ דינ מחדא שׁבקו לאלפא ולאבוהונ ואזלו בתרה ܀
40N	4	23	ומתכרכ הוא ישׁוע בכלה גלילא ומלפ הוא בכנושׁתהונ ומכרז סברתא דמלכותא ומאסא כל כאב וכורהנ בעמא ܀
40N	4	24	ואשׁתמע טבה בכלה סוריא וקרבו לה כלהונ אילינ דבישׁ בישׁ עבידינ בכורהנא משׁחלפא ואילינ דאליצינ בתשׁניקא ודיונא ודבר אגרא ומשׁריא ואסי אנונ ܀ 25 ואזלו בתרה כנשׁא סגיאא מנ גלילא ומנ עסרת מדינתא ומנ אורשׁלמ ומנ יהוד ומנ עברא דיורדננ ܀
40N	4	25	 
